iter	Passed	Remaining
580	7590917	5474344
581	7603575	5460987
582	7616217	5447620
583	7628826	5434232
584	7641455	5420861
585	7654116	5407515
586	7666696	5394115
587	7679247	5380697
588	7691874	5367335
589	7704512	5353983
590	7717106	5340603
591	7729756	5327264
592	7742433	5313946
593	7754973	5300537
594	7767453	5287090
595	7780126	5273777
596	7792789	5260459
597	7805388	5247100
598	7817917	5233697
599	7830443	5220295
600	7843147	5207014
601	7855798	5193700
602	7868427	5180374
603	7881039	5167039
604	7893708	5153743
605	7906357	5140436
606	7918978	5127114
607	7931615	5113804
608	7944240	5100489
609	7956873	5087181
610	7969582	5073924
611	7982247	5060640
612	7994878	5047337
613	8007494	5034027
614	8020180	5020763
615	8032821	5007473
616	8045561	4994246
617	8058210	4980964
618	8071051	4967803
619	8083803	4954589
620	8096459	4941317
621	8109207	4928103
622	8121871	4914840
623	8134494	4901554
624	8147144	4888286
625	8159769	4875006
626	8172455	4861763
627	8185115	4848507
628	8197755	4835241
629	8210580	4822087
630	8223161	4808790
631	8235975	4795631
632	8248741	4782445
633	8261496	4769255
634	8274170	4756018
635	8286886	4742809
636	8299595	4729596
637	8312300	4716383
638	8325015	4703177
639	8337709	4689961
640	8350351	4676718
641	8362987	4663472
642	8375630	4650233
643	8388272	4636995
644	8400905	4623754
645	8413507	4610497
646	8426160	4597271
647	8438774	4584025
648	8451460	4570820
649	8465921	4558573
650	8481814	4547086
651	8495932	4534638
652	8510469	4522408
653	8524598	4509955
654	8538639	4497451
655	8552837	4485024
656	8566151	4472130
657	8579737	4459377
658	8593349	4446634
659	8606724	4433767
660	8620472	4421089
661	8634116	4408355
662	8648548	4396019
663	8662272	4383318
664	8674925	4370075
665	8687609	4356849
666	8700231	4343593
667	8712814	4330321
668	8725455	4317079
669	8738123	4303852
670	8750827	4290644
671	8763394	4277371
672	8775986	4264112
673	8788610	4250870
674	8801270	4237648
675	8813879	4224404
676	8826445	4211140
677	8839128	4197934
678	8851710	4184682
679	8864207	4171391
680	8876703	4158103
681	8889361	4144893
682	8901933	4131644
683	8914730	4118501
684	8927385	4105293
685	8940005	4092072
686	8952652	4078864
687	8965290	4065654
688	8977942	4052453
689	8990542	4039229
690	9003221	4026042
691	9016395	4013077
692	9030326	4000447
693	9043611	3987528
694	9056240	3974321
695	9068915	3961135
696	9081552	3947934
697	9094154	3934720
698	9106786	3921520
699	9119407	3908317
700	9132021	3895113
701	9144637	3881911
702	9157274	3868720
703	9169855	3855507
704	9182473	3842311
705	9195103	3829122
706	9207729	3815932
707	9220315	3802728
708	9232950	3789546
709	9245558	3776354
710	9258106	3763140
711	9270534	3749879
712	9283078	3736667
713	9295677	3723478
714	9308302	3710302
715	9320830	3697089
716	9333382	3683887
717	9346108	3670755
718	9358733	3657585
719	9371167	3644343
720	9383776	3631170
721	9396349	3617985
722	9408962	3604816
723	9421574	3591649
724	9434151	3578471
725	9446838	3565335
726	9459480	3552184
727	9472108	3539029
728	9484640	3525840
729	9497175	3512653
730	9509628	3499439
731	9522287	3486302
732	9534942	3473164
733	9547578	3460021
734	9560020	3446810
